key	text	tooltip
mct_gam_chaotic_invasion_location_messages_tooltip	If checked, specific messages will be shown to alert on where invasions will spawn during the intro stage. If not, only generic message will be shown.\\nIntro messages doesn't show first stage of invasion locations, only final ones (can be same if keep same location is checked).	true
mct_gam_chaotic_invasion_starting_turn_text	Randomize start turn.	true
mct_gam_chaotic_invasion_mid_starting_turn_tooltip	Randomize the turn for the first phase of invasion to be triggered.\\nDefault : Yes	true
mct_gam_chaotic_invasion_mid_starting_turn_minimum_tooltip	Default: 90	true
mct_gam_chaotic_invasion_mid_starting_turn_maximum_tooltip	Default: 110\\nNot used if not random.	true
mct_gam_chaotic_invasion_end_starting_turn_tooltip	Randomize the turn for the second phase of invasion to be triggered.\\nDefault : Yes	true
mct_gam_chaotic_invasion_end_starting_turn_minimum_tooltip	Default: 140	true
mct_gam_chaotic_invasion_end_starting_turn_maximum_tooltip	Default: 160\\nNot used if not random.	true
mct_gam_chaotic_invasion_invasions_per_stage_text	Number of invasions	true
mct_gam_chaotic_invasion_invasions_per_stage_tooltip	Randomize the number of spawned invasions during this stage.\\nDefault: No	true
mct_gam_chaotic_invasion_mid_invasions_per_stage_minimum_tooltip	Default: 1 (Chaos waste only)	true
mct_gam_chaotic_invasion_end_invasions_per_stage_minimum_tooltip	Default: 2 (Chaos waste and naggaroth)	true
mct_gam_chaotic_invasion_character_level_text	Randomize character level.	true
mct_gam_chaotic_invasion_character_level_tooltip	Randomize lord / hero level.\\nDefault : No	true
mct_gam_chaotic_invasion_character_level_minimum_tooltip	Default: 10	true
mct_gam_chaotic_invasion_army_level_text	Randomize army level.	true
mct_gam_chaotic_invasion_army_level_tooltip	Randomize level of units in armies.\\nDefault : No	true
mct_gam_chaotic_invasion_army_level_minimum_tooltip	Default: 0/0/3/6/9	true
mct_gam_chaotic_invasion_armies_per_invasion_tooltip	If not checked, minimum is used.\\nDefault: No	true
mct_gam_chaotic_invasion_armies_per_invasion_minimum_tooltip	Default: 0	true
mct_gam_chaotic_invasion_chaos_armies_per_invasion_text	Randomize number of chaos armies	true
mct_gam_chaotic_invasion_mid_chaos_armies_per_invasion_minimum_tooltip	Default: 0/4/6/8/12	true
mct_gam_chaotic_invasion_end_chaos_armies_per_invasion_minimum_tooltip	Default: 0/8/12/16/24 for chaos waste, 0/4/6/8/12 for naggaroth	true
mct_gam_chaotic_invasion_norsca_armies_per_invasion_text	Randomize number of norsca armies	true
mct_gam_chaotic_invasion_end_norsca_armies_per_invasion_minimum_tooltip	Default: 4	true
mct_gam_chaotic_invasion_beastmen_armies_per_invasion_text	Randomize number of beastmen armies	true
mct_gam_chaotic_invasion_end_beastmen_armies_per_invasion_minimum_tooltip	Default: 1	true
mct_gam_chaotic_invasion_agent_number_text	Randomize number of agent	true
mct_gam_chaotic_invasion_agent_number_tooltip	If not checked, minimum is used.\\nDefault: No	true
mct_gam_chaotic_invasion_mid_agent_number_minimum_tooltip	Default: 2	true
mct_gam_chaotic_invasion_end_agent_number_minimum_tooltip	Default: 4	true
mct_gam_chaotic_invasion_chaos_waste_location_activated_text	Chaos waste	true
mct_gam_chaotic_invasion_chaos_waste_location_activated_tooltip	If chaos waste is mandatory (general option), it's considered as checked.\\n\\nArmies will spawn in the same place as in the base game:\\n - Chaos will spawn in the chaos waste.\\n - Beastmen will spawn in the chaos waste.\\n - Norsca will spawn in norsca.	true
mct_gam_chaotic_invasion_naggaroth_location_activated_text	Naggaroth	true
mct_gam_chaotic_invasion_naggaroth_location_activated_tooltip	If naggaroth is mandatory (general option), it's considered as checked.\\n\\n - Chaos will spawn on the extreme north of naggaroth.\\n - Beastmen will spawn in the forest next to the extreme north of Naggaroth.\\n - Norsca will spawn at the eastern tip of the north of naggaroth.	true
mct_gam_chaotic_invasion_lustria_location_activated_text	Lustria	true
mct_gam_chaotic_invasion_lustria_location_activated_tooltip	This location is very close to lizardmen settlements.\\n\\n - Chaos will spawn along the southwest edge of Lustria.\\n - Beastmen will spawn close to forest on west and south of Lustria.\\n - Norsca will spawn along the far sea.	true
mct_gam_chaotic_invasion_vortex_location_activated_text	Vortex	true
mct_gam_chaotic_invasion_vortex_location_activated_tooltip	This location is very close to high elf settlements.\\n\\n - Chaos will spawn around the vortex.\\n - Beastmen will spawn close to island around the vortex and some close to forest in Ulthuan.\\n - Norsca will spawn around Ulthuan.	true
mct_gam_chaotic_invasion_great_ocean_location_activated_text	Great ocean	true
mct_gam_chaotic_invasion_great_ocean_location_activated_tooltip	Northern part of the ocean, between naggaroth and old continent. This location is close to Bretonnian lands.\\n\\n - Chaos will spawn in the ocean.\\n - Beastmen will spawn close to forests on Bretonnia and Albion.\\n - Norsca will in the middle sea and the sea of claws.	true
mct_gam_chaotic_invasion_south_great_ocean_location_activated_text	South great ocean	true
mct_gam_chaotic_invasion_south_great_ocean_location_activated_tooltip	Southern part of the ocean, between Lustria and Arabia.\\n\\n - Chaos will spawn in the ocean.\\n - Beastmen will spawn close to volcanic (lustria) and sorceress island (arabia).\\n - Norsca will spawn in the south of the great ocean, and around galleons graveyard.	true
mct_gam_chaotic_invasion_unknown_seas_location_activated_text	Unknown seas (far east)	true
mct_gam_chaotic_invasion_unknown_seas_location_activated_tooltip	- Chaos will spawn in the unknown seas, far to the east.\\n - Beastmen will spawn on the dragon islands and in forest in the gnoblar country.\\n - Norsca will spawn in the unknown seas.	true
mct_gam_chaotic_invasion_nagash_pyramid_location_activated_text	Nagash pyramid	true
mct_gam_chaotic_invasion_nagash_pyramid_location_activated_tooltip	This location is in middle of Arabia !\\n\\n- Chaos will spawn around the Black pyramid of Nagash.\\n - Beastmen will spawn close to forest on south of Arabia.\\n - Norsca in and around the gulf of Medes.	true
mct_gam_chaotic_invasion_sylvania_location_activated_text	Sylvania	true
mct_gam_chaotic_invasion_sylvania_location_activated_tooltip	This location is in middle of the empire !\\n\\n - Chaos will spawn around the Drakenhof castle.\\n - Beastmen will spawn in forest bordering Sylvania.\\n - Norsca will spawn in mountains bordering Sylvania.	true
mct_gam_chaotic_invasion_badlands_location_activated_text	Badlands	true
mct_gam_chaotic_invasion_badlands_location_activated_tooltip	Very close to drawf and orks settlements.\\n\\n - Chaos will spawn close to Valayas sorrow.\\n - Beastmen will spawn in the mountains in the desolation of Nagash.\\n - Norsca will spawn along the pirate coast.	true
mct_gam_chaotic_invasion_empire_location_activated_text	Empire	true
mct_gam_chaotic_invasion_empire_location_activated_tooltip	This location is in middle of the empire !\\n\\n - Chaos will spawn around Altdorf.\\n - Beastmen will spawn in southern part of empire.\\n - Norsca will spawn in northern part of empire.	true
mct_gam_chaotic_invasion_dwarf_mountains_location_activated_text	Karaz-A-Karak	false
mct_gam_chaotic_invasion_dwarf_mountains_location_activated_tooltip	This location is in middle of dwarves mountains !\\n\\n - Chaos will spawn around Karaz-A-Karak.\\n - Beastmen will spawn all along the mountains and in forests to the east.\\n - Norsca will spawn in northern mountains.	false
